Player,Team,Minutes
9ki1cb5hp0krqo9atujkintas,Granada,24.0
9ld622ld2el1ql9vy2akchfit,Madrid,85.0
9me1kmpnn44vmq2na5ewkvf56,Madrid,29.0
9pwqzaeaplgqjpkulxse5iwkq,Tenerife,154.0
9x4qkir5sofsdi6jf3qdnvgx6,Real Madrid,27.0
9x6jbuibbl7ysh0oovghyw4id,Sevilla,90.0
a0g0ldiol9fzw09gk5i9e15w4,Granada,81.0
a55xecni0b1u644nncny1m356,Eibar,170.0
a5b2mmssttscc0k5rss87lhey,Real Sociedad,-11.0
a9fqfgbr4015ksz39vmbemcwl,Espanyol,45.0
aa93kg4nfvrpthvfkkofixwtm,Eibar,12.0
aib5wgtlgl48jaezcguoxkmp5,Barcelona,23.0
ask7272fx27cnoyftytqked5g,Eibar,10.0
b04zkjwz0wvqsxlrvf8ulcnvt,Badalona,7.0
b9rcv1fsqcwockfpbkl58tl,Madrid,137.0
bdaicql6er9antum0eaar9x0q,Atlético Madrid,157.0
bduld1olx8c2hbx4lvcnkcl5g,Real Sociedad,37.0
be8u2dq14e0ry7criuqpuukno,Real Sociedad,149.0
bgzh3zwl99bpnnpj37jn4dmtx,Barcelona,55.0
bi66qq8xhwgb2qnxw1f931b84,Real Madrid,45.0
bows51pg0h4042274cvzwtmcq,Espanyol,140.0
bpk64d0puoo2xofbb5k4ffuac,Athletic Club,89.0
bww0ejpmnr71he9h4t8r439w5,Alhama,78.0
bzcupszwezr2tzjpytyv2fka2,Barcelona,23.0
c0sbqq365leddaou5svouhko9,Alhama,12.0
c3plg9ommu3i24xx3nfm6wbxm,Madrid,156.0
c7ybrnt131jx4z31cfo6bx4a,Badalona,20.0
c7zr4rsbfl44fj4pb17x1pq8k,Granada,-4.0
cau3u3q1mkciy5x6rq5xwj8k4,Real Sociedad,14.0
cklnfn4gt480hn4o3m3d979w,Deportivo La Coruña,93.0
cl94qe8su9mdjcijafr4gst4a,Atlético Madrid,104.0
cndbae3p3ag0t2qpt22wafo8a,Alhama,28.0
