Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Cook,Kansas City Current,1,0.06,0.0,0.06
A. Crnogorčević,Seattle Reign FC,3,0.44,0.08,0.36
A. Dahlkemper,Bay FC,8,0.71,0.03,0.68
A. Guzmán,Utah Royals,1,0.03,0.03,0.0
A. Hatch,Washington Spirit,24,4.56,3.25,1.31
A. James-Turner,Seattle Reign FC,1,0.1,0.0,0.1
A. Kennedy,Angel City FC,23,1.95,0.77,1.18
A. Kennedy,Seattle Reign FC,1,0.0,0.0,0.0
A. Lemos,Orlando Pride,9,0.54,0.28,0.26
A. Leon,San Diego Wave FC,26,5.69,5.34,0.35
A. Loera,Utah Royals,1,0.03,0.03,0.0
A. Malonson,Bay FC,2,0.12,0.12,0.0
A. McCammon,Seattle Reign FC,3,0.23,0.13,0.1
A. Naeher,Chicago Stars FC,1,0.77,0.0,0.77
A. Nagai,Utah Royals,1,0.05,0.05,0.0
A. Oshoala,Bay FC,8,0.7,0.52,0.18
A. Patterson,Houston Dash,17,1.75,1.11,0.65
A. Sanchez,North Carolina Courage,23,2.23,2.14,0.09
A. Schlegel,Chicago Stars FC,26,3.03,1.94,1.09
A. Schlegel,Washington Spirit,1,0.0,0.0,0.0
A. Sentnor,Kansas City Current,8,0.37,0.37,0.0
A. Sentnor,Utah Royals,26,2.6,1.6,1.0
A. Solórzano,Utah Royals,8,0.8,0.71,0.09
A. Spaanstra,Portland Thorns FC,3,0.5,0.39,0.1
A. Thompson,Angel City FC,39,5.33,3.29,2.04
A. Watt,Orlando Pride,20,4.55,4.01,0.54
A. Wright,Racing Louisville FC,8,1.07,0.09,0.98
Aline Gomes,North Carolina Courage,2,0.45,0.45,0.0
Ana Tejada,Utah Royals,3,0.13,0.03,0.1
Angelina,Orlando Pride,12,1.95,1.1,0.85
Ary Borges,Orlando Pride,1,0.0,0.0,0.0
Ary Borges,Racing Louisville FC,13,2.93,0.73,2.2
B. Balcer,Racing Louisville FC,2,0.09,0.03,0.05
B. Banda,Orlando Pride,60,8.22,6.8,1.42
B. Franklin,Chicago Stars FC,5,0.3,0.11,0.19
B. Mozingo,Utah Royals,23,2.14,1.92,0.23
B. Olivieri,Houston Dash,16,2.29,1.62,0.68
B. Pinto,North Carolina Courage,11,1.63,0.94,0.69
B. Ratcliffe,Washington Spirit,3,0.19,0.19,0.0
B. St-Georges,Utah Royals,18,3.0,2.93,0.07
Bia Zaneratto,Kansas City Current,20,2.43,2.09,0.34
C. Barry,Chicago Stars FC,3,0.23,0.17,0.06
C. Bethune,Washington Spirit,16,1.99,1.71,0.28
C. Biegalski,Chicago Stars FC,7,0.69,0.53,0.16
C. Brown,Washington Spirit,7,1.07,1.01,0.06
C. Conti,Bay FC,16,3.58,0.63,2.94
C. Curran,Chicago Stars FC,2,0.15,0.15,0.0
C. Dydasco,Bay FC,5,0.3,0.16,0.14
C. Dyke,Orlando Pride,3,0.16,0.08,0.09
C. Emslie,Angel City FC,12,1.69,1.56,0.13
C. Hanks,Portland Thorns FC,15,1.92,1.86,0.06
C. Hutton,Kansas City Current,15,0.96,0.58,0.37
C. Kizer,Utah Royals,5,0.58,0.58,0.0
C. Krueger,Washington Spirit,5,0.61,0.61,0.0
C. Lacasse,Utah Royals,2,0.15,0.15,0.0
C. Laris­ey,Houston Dash,2,0.12,0.08,0.05
C. Okwuchukwu,San Diego Wave FC,1,0.32,0.32,0.0
C. Paulson,Bay FC,1,0.07,0.0,0.07
C. Petersen,Racing Louisville FC,11,0.51,0.21,0.31
C. Pickett,Orlando Pride,8,0.43,0.16,0.27
C. Press,Angel City FC,13,0.93,0.87,0.05
C. Ricketts,Washington Spirit,1,0.07,0.07,0.0
C. Vine,North Carolina Courage,4,1.5,0.96,0.54
Claudia Zornoza,Utah Royals,19,0.74,0.44,0.3
D. Bailey,Bay FC,8,0.52,0.52,0.0
D. Cascarino,San Diego Wave FC,28,1.98,1.15,0.84
D. Castellanos,Portland Thorns FC,29,2.35,1.81,0.54
D. Colaprico,Houston Dash,10,0.7,0.1,0.6
D. Foederer,Utah Royals,6,0.33,0.28,0.05
D. O'Sullivan,North Carolina Courage,9,0.63,0.57,0.06
D. Ordoñez,Houston Dash,2,0.43,0.3,0.13
D. Sheehan,Houston Dash,12,1.25,0.99,0.26
D. Weatherholt,North Carolina Courage,1,0.07,0.07,0.0
Debinha,Kansas City Current,24,2.94,2.63,0.31
E. Adames,Seattle Reign FC,19,3.13,2.27,0.87
E. Ball,Kansas City Current,3,0.5,0.0,0.5
E. Duljan,Houston Dash,5,0.36,0.36,0.0
E. Hase,Racing Louisville FC,4,1.0,0.94,0.06
E. Jean,Racing Louisville FC,4,0.83,0.11,0.72
E. Morgan,Washington Spirit,6,1.48,0.33,1.15
E. Sams,Orlando Pride,2,0.13,0.0,0.13
E. Sears,Racing Louisville FC,37,5.22,4.22,1.01
E. Shores,Angel City FC,4,0.24,0.0,0.24
E. Sonnett,Gotham FC,5,0.98,0.0,0.98
E. Sonnett,Houston Dash,1,0.0,0.0,0.0
E. Stevens,Gotham FC,15,1.29,0.81,0.49
E. Wheeler,Kansas City Current,14,1.09,0.46,0.63
Esther González,Gotham FC,44,8.3,5.91,2.38
F. Rauch,North Carolina Courage,3,0.62,0.62,0.0
Flora Marta Lacho,Kansas City Current,5,0.37,0.19,0.18
G. Carle,Washington Spirit,4,0.59,0.12,0.47
G. Chanda,Orlando Pride,1,0.09,0.09,0.0
G. Corley,San Diego Wave FC,22,2.81,2.02,0.8
