playerName,Team,ActualDisruptions,ExpectedDisruptions
A. Ale,Leicester City,4,0.632
A. Beever-Jones,Chelsea,1,0.5740000000000001
A. Dennis,Tottenham Hotspur,0,0.18
A. Denton,West Ham United,0,1.71
A. Greenwood,Manchester City,3,1.74
A. Kennedy,London City Lionesses,5,0.9500000000000001
A. Nildén,Tottenham Hotspur,7,0.648
A. Patten,Aston Villa,1,0.32
A. Russo,Arsenal,0,0.473
A. Sandberg,Manchester United,4,0.47400000000000003
A. Yamashita,Manchester City,0,0.043000000000000003
B. England,Tottenham Hotspur,1,0.638
B. Mead,Arsenal,2,0.504
B. Olsson,Liverpool,3,0.152
B. Rayner,Brighton & Hove Albion,0,0.126
C. Bizet,Manchester United,3,0.988
C. Boureille,Leicester City,2,0.6120000000000001
C. Brosnan,Everton,0,0.056
C. Foord,Arsenal,2,0.39599999999999996
C. Grant,Aston Villa,0,0.8320000000000001
C. Grant,Tottenham Hotspur,0,0.0
C. Holland,Liverpool,4,1.104
C. Hunt,Tottenham Hotspur,4,1.1500000000000001
C. Kapocs,Liverpool,0,0.308
C. Kelly,Arsenal,2,0.78
C. Macário,Chelsea,1,0.12
C. Nnadozie,Brighton & Hove Albion,0,0.0
C. Rule,Brighton & Hove Albion,5,0.18
C. Tandberg,Tottenham Hotspur,1,0.276
C. Wheeler,Everton,2,0.405
Carla Camacho,Brighton & Hove Albion,0,0.056
D. Janssen,Manchester United,1,0.777
D. Spence,Tottenham Hotspur,4,0.9
D. van Domselaar,Arsenal,0,0.09
E. Carpenter,Chelsea,8,1.938
E. Cuthbert,Chelsea,4,0.666
E. Fox,Arsenal,4,1.8720000000000003
E. Linari,London City Lionesses,4,0.324
E. Nyström,West Ham United,3,0.392
E. Roebuck,Aston Villa,0,0.0
E. Salmon,Aston Villa,0,0.42
E. Summanen,Tottenham Hotspur,1,0.67
E. Terland,Manchester United,1,0.492
E. Toone,Manchester United,1,2.484
E. van Egmond,Leicester City,4,0.34
Elene Lete,London City Lionesses,0,0.052000000000000005
F. Kirby,Brighton & Hove Albion,0,1.098
F. Kirby,Liverpool,0,0.0
F. Maanum,Arsenal,1,0.132
F. Morgan,West Ham United,1,0.392
F. Nagano,Liverpool,2,0.65
G. Bonner,Liverpool,5,1.034
G. Evans,Liverpool,0,1.1300000000000001
G. Fisk,Liverpool,2,1.68
G. Mullett,Aston Villa,0,0.054
G. Prior,Manchester City,0,0.294
H. Cain,Leicester City,1,0.663
H. Eiríksdóttir,Leicester City,0,0.12
H. Hampton,Chelsea,0,0.224
H. Hayashi,Everton,1,0.05
H. Ladd,Everton,0,0.112
H. Miyazawa,Manchester United,5,1.47
H. Payne,Leicester City,0,0.042
I. Beney,Manchester City,1,0.009000000000000001
I. Goodwin,London City Lionesses,0,0.5499999999999999
J. Baijings,Aston Villa,2,0.32400000000000007
J. Cayman,Leicester City,1,0.16
J. Leitzig,Leicester City,0,0.0
J. Naz,Tottenham Hotspur,1,0.7020000000000001
J. Park,Manchester United,1,0.56
J. Rantala,Leicester City,0,0.03
J. Riviere,Manchester United,4,2.66
J. Roddar,London City Lionesses,0,0.096
J. Rose,Manchester City,4,0.9019999999999999
J. Rybrink,Tottenham Hotspur,2,0.9239999999999999
J. Rytting Kaneryd,Chelsea,2,0.024
J. Thibaud,Leicester City,5,0.316
J. Zigiotti Olme,Manchester United,2,0.78
J. Čanković,Brighton & Hove Albion,6,0.847
Jana Fernández,London City Lionesses,3,1.479
K. Asllani,London City Lionesses,2,0.29
K. Casparij,Manchester City,3,2.125
K. Gago,Everton,0,0.028
K. Gorry,West Ham United,4,0.7919999999999999
K. Graham,Tottenham Hotspur,1,0.363
K. Hanson,Aston Villa,2,0.322
K. Holmgaard,Everton,3,0.8160000000000001
K. Little,Arsenal,1,1.824
K. MacLean,Liverpool,0,0.136
K. McCabe,Arsenal,2,0.99
K. Reid,Arsenal,5,0.37
K. Robinson,Everton,1,0.6
K. Seike,Brighton & Hove Albion,0,0.56
K. Shaw,Manchester City,1,0.935
K. Snoeijs,Everton,0,0.54
K. Szemik,West Ham United,0,0.025
K. Walsh,Chelsea,3,0.581
K. Zelem,London City Lionesses,1,0.46199999999999997
L. Blindkilde Brown,Manchester City,1,0.018000000000000002
L. Gunning-Williams,Tottenham Hotspur,0,0.0
L. Hemp,Manchester City,3,2.2199999999999998
L. Kop,Tottenham Hotspur,0,0.073
L. Murphy,Manchester City,2,1.4949999999999999
L. Naalsund,Manchester United,0,0.30600000000000005
L. Wilms,Aston Villa,3,1.292
L. Woodham,Liverpool,3,2.2860000000000005
Leila Ouahabi,Manchester City,0,0.0
Lucía Corrales,London City Lionesses,1,0.0
M. Agyemang,Brighton & Hove Albion,3,1.292
M. Bright,Chelsea,2,0.325
M. Enderby,Liverpool,0,0.5720000000000001
M. Haley,Brighton & Hove Albion,3,1.12
M. Hamano,Chelsea,4,2.808
M. Höbinger,Liverpool,0,0.8580000000000001
M. Kearns,Aston Villa,1,0.39
M. Le Tissier,Manchester United,1,2.224
M. Malard,Manchester United,2,1.7100000000000002
M. Minami,Brighton & Hove Albion,3,0.14400000000000002
M. Olislagers,Brighton & Hove Albion,2,0.784
M. Pacheco,Everton,7,1.6
M. Paví,West Ham United,0,0.024
M. Symonds,Brighton & Hove Albion,4,0.852
M. Taylor,Aston Villa,2,0.084
M. Turner,Manchester United,0,0.03
M. Walsh,West Ham United,1,0.032
Mariona Caldentey,Arsenal,4,4.03
Martina Fernández,Everton,1,0.768
María Pérez,London City Lionesses,3,0.08600000000000001
