Player,Team,GPA,Avg,GPA Rating
B. Sterner,SGS Essen,0.016,0.016,36.32
J. Debitzki,SGS Essen,0.195,0.195,42.12
J. Feldkamp,SGS Essen,0.531,0.531,52.99
J. Meißner,SGS Essen,0.548,0.548,53.54
K. Sindermann,SGS Essen,0.734,0.734,59.57
L. Bäcker,SGS Essen,0.13599999999999998,0.13599999999999998,40.21
L. Elmazi,SGS Essen,0.323,0.323,46.26
L. Köpp,SGS Essen,0.399,0.399,48.72
L. Ostermeier,SGS Essen,0.9720000000000001,0.9720000000000001,67.27
L. Pucks,SGS Essen,0.852,0.852,63.38
M. Berentzen,SGS Essen,0.11400000000000002,0.11400000000000002,39.5
N. Kowalski,SGS Essen,0.23700000000000002,0.23700000000000002,43.48
P. Flach,SGS Essen,0.825,0.825,62.51
R. Maier,SGS Essen,0.476,0.476,51.21
S. Van Belle,SGS Essen,0.179,0.179,41.6
V. Fürst,SGS Essen,0.6980000000000001,0.6980000000000001,58.4
A. Gambone,Nürnberg,0.11000000000000001,0.11000000000000001,39.37
A. Polášková,Nürnberg,0.41900000000000004,0.41900000000000004,49.37
B. Fördős,Nürnberg,0.362,0.362,47.52
C. Fröhlich,Nürnberg,0.172,0.172,41.37
F. Mai,Nürnberg,0.201,0.201,42.31
J. Baumgärtel,Nürnberg,0.11700000000000002,0.11700000000000002,39.59
J. Brengel,Nürnberg,0.43499999999999994,0.43499999999999994,49.89
J. Pollak,Nürnberg,0.568,0.568,54.19
L. Guttenberger,Nürnberg,0.306,0.306,45.71
L. Rusek,Nürnberg,0.517,0.517,52.54
N. Lein,Nürnberg,0.425,0.425,49.56
O. Woś,Nürnberg,0.5980000000000001,0.5980000000000001,55.16
S. Homann,Nürnberg,0.43900000000000006,0.43900000000000006,50.02
S. Ličina,Nürnberg,0.22000000000000003,0.22000000000000003,42.93
A. Norheim,RB Leipzig,0.704,0.704,58.59
A. Schasching,RB Leipzig,0.359,0.359,47.43
D. Boboy,RB Leipzig,0.173,0.173,41.41
E. Herzog,RB Leipzig,0.49000000000000005,0.49000000000000005,51.67
E. Ásgeirsdóttir,RB Leipzig,0.085,0.085,38.56
G. Chmielinski,RB Leipzig,0.32,0.32,46.16
J. Landenberger,RB Leipzig,0.589,0.589,54.87
L. Baum,RB Leipzig,0.332,0.332,46.55
L. Joly,RB Leipzig,0.146,0.146,40.53
M. Kadowaki,RB Leipzig,0.10400000000000001,0.10400000000000001,39.17
M. Müller,RB Leipzig,0.181,0.181,41.67
M. Schimmer,RB Leipzig,0.526,0.526,52.83
N. Dudek,RB Leipzig,0.09,0.09,38.72
P. Oteng,RB Leipzig,0.052000000000000005,0.052000000000000005,37.49
S. Starke,RB Leipzig,0.587,0.587,54.81
V. Krug,RB Leipzig,0.683,0.683,57.91
A. Achcińska,Köln,0.42400000000000004,0.42400000000000004,49.53
A. Gerhardt,Köln,0.541,0.541,53.32
C. Degen,Köln,0.575,0.575,54.42
C. Imping,Köln,0.47400000000000003,0.47400000000000003,51.15
L. Andrade,Köln,0.128,0.128,39.95
L. Donhauser,Köln,0.389,0.389,48.4
