Player,Team,GPA,Avg,GPA Rating
A. Gbedjissi,Lens,0.343,0.343,45.22
B. Joly,Lens,0.5820000000000001,0.5820000000000001,53.25
C. Bertrand,Lens,0.37,0.37,46.13
D. Pierre-Louis,Lens,0.548,0.548,52.1
F. Proniez,Lens,0.49000000000000005,0.49000000000000005,50.16
J. Limage,Lens,0.556,0.556,52.37
K. El Koumir,Lens,0.11600000000000002,0.11600000000000002,37.6
L. Archier,Lens,0.217,0.217,40.99
L. Oillic,Lens,0.597,0.597,53.75
L. Pinot,Lens,0.332,0.332,44.85
M. Revelli,Lens,0.33799999999999997,0.33799999999999997,45.05
N. Vagre,Lens,0.268,0.268,42.7
R. Lejeune,Lens,0.426,0.426,48.01
S. Jeudy,Lens,0.097,0.097,36.96
T. David,Lens,0.036,0.036,34.91
C. Boisard,Le Havre,0.7150000000000001,0.7150000000000001,57.71
C. Effa Effa,Le Havre,0.546,0.546,52.04
C. Gavory,Le Havre,0.663,0.663,55.97
I. Adjabi,Le Havre,0.461,0.461,49.18
J. Nassi,Le Havre,0.145,0.145,38.57
L. Philippe,Le Havre,0.384,0.384,46.6
M. Boucly,Le Havre,1.074,1.074,69.77
M. Mendy,Le Havre,0.23000000000000004,0.23000000000000004,41.42
M. Roth,Le Havre,0.37,0.37,46.13
R. Enguehard,Le Havre,0.5980000000000001,0.5980000000000001,53.78
S. Kassi,Le Havre,0.127,0.127,37.97
T. Gallais,Le Havre,0.05,0.05,35.38
Z. Stiévenart,Le Havre,0.573,0.573,52.94
É. Kouache,Le Havre,1.034,1.034,68.43
É. Tsé,Le Havre,0.685,0.685,56.71
A. Béché,Strasbourg,1.238,1.238,75.28
A. Chaney,Strasbourg,0.9620000000000001,0.9620000000000001,66.01
A. Yeboah,Strasbourg,0.036,0.036,34.91
Bruna Lourenço,Strasbourg,1.02,1.02,67.96
E. Aigbogun,Strasbourg,1.1019999999999999,1.1019999999999999,70.71
Fátima Pinto,Strasbourg,0.791,0.791,60.27
I. Konan,Strasbourg,0.40099999999999997,0.40099999999999997,47.17
L. Hannequin,Strasbourg,0.5589999999999999,0.5589999999999999,52.47
M. Babou,Strasbourg,0.11800000000000002,0.11800000000000002,37.66
M. Diop,Strasbourg,0.449,0.449,48.78
M. Hoeltzel,Strasbourg,0.37,0.37,46.13
M. Traoré,Strasbourg,0.544,0.544,51.97
M. Wahl,Strasbourg,0.8,0.8,60.57
S. Enge,Strasbourg,1.0370000000000001,1.0370000000000001,68.53
A. Felden,Montpellier,0.9339999999999999,0.9339999999999999,65.07
C. Blanc,Montpellier,0.6940000000000001,0.6940000000000001,57.01
C. Chabod,Montpellier,0.04,0.04,35.04
E. Palis,Montpellier,0.8459999999999999,0.8459999999999999,62.11
J. Coquet,Montpellier,0.438,0.438,48.41
J. Lerond,Montpellier,0.74,0.74,58.55
J. Rastocle,Montpellier,0.692,0.692,56.94
J. Rouquet,Montpellier,0.29500000000000004,0.29500000000000004,43.61
K. Louis,Montpellier,0.696,0.696,57.08
L. Gstalter,Montpellier,0.215,0.215,40.92
N. Ngueleu,Montpellier,0.331,0.331,44.82
S. Ouchene,Montpellier,0.534,0.534,51.63
É. Rambaud,Montpellier,0.088,0.088,36.66
C. Cosme,Nantes,1.326,1.326,78.23
C. Robillard,Nantes,0.151,0.151,38.77
E. Burns,Nantes,0.505,0.505,50.66
E. Paljevic,Nantes,0.4,0.4,47.13
I. Saoud,Nantes,0.135,0.135,38.23
Izarne Sarasola,Nantes,0.805,0.805,60.74
J. Mossard,Nantes,0.227,0.227,41.32
J. Pasquereau,Nantes,0.484,0.484,49.96
L. Fleury,Nantes,0.47400000000000003,0.47400000000000003,49.62
L. Khelifi,Nantes,0.762,0.762,59.29
L. Storti,Nantes,0.125,0.125,37.9
M. Bethi,Nantes,0.29500000000000004,0.29500000000000004,43.61
M. Cosson,Nantes,0.7270000000000001,0.7270000000000001,58.12
M. Toloba,Nantes,0.238,0.238,41.69
Nelly Rodrigues,Nantes,0.7,0.7,57.21
R. Éloissaint,Nantes,0.11500000000000002,0.11500000000000002,37.56
A. Connesson,Saint-Étienne,0.418,0.418,47.74
A. Gajić,Saint-Étienne,0.617,0.617,54.42
