Player,Team,Minutes
A. Beever-Jones,Chelsea,61.0
A. Greenwood,Manchester City,93.0
A. Kennedy,London City Lionesses,82.0
A. Russo,Arsenal,76.0
A. Yamashita,Manchester City,90.0
B. Mead,Arsenal,14.0
C. Foord,Arsenal,30.0
C. Kelly,Arsenal,76.0
C. Macário,Chelsea,29.0
D. van Domselaar,Arsenal,90.0
E. Carpenter,Chelsea,90.0
E. Cuthbert,Chelsea,76.0
E. Fox,Arsenal,90.0
E. Linari,London City Lionesses,90.0
Elene Lete,London City Lionesses,90.0
F. Maanum,Arsenal,30.0
G. Prior,Manchester City,90.0
H. Hampton,Chelsea,90.0
I. Beney,Manchester City,6.0
I. Goodwin,London City Lionesses,90.0
J. Roddar,London City Lionesses,45.0
J. Rose,Manchester City,90.0
J. Rytting Kaneryd,Chelsea,14.0
Jana Fernández,London City Lionesses,90.0
K. Asllani,London City Lionesses,90.0
K. Casparij,Manchester City,90.0
K. Little,Arsenal,90.0
K. McCabe,Arsenal,86.0
K. Reid,Arsenal,90.0
K. Shaw,Manchester City,90.0
K. Walsh,Chelsea,90.0
K. Zelem,London City Lionesses,45.0
L. Blindkilde Brown,Manchester City,14.0
L. Hemp,Manchester City,90.0
L. Murphy,Manchester City,90.0
Leila Ouahabi,Manchester City,-3.0
Lucía Corrales,London City Lionesses,-2.0
M. Bright,Chelsea,90.0
M. Hamano,Chelsea,90.0
Mariona Caldentey,Arsenal,90.0
María Pérez,London City Lionesses,64.0
N. Björn,Chelsea,90.0
N. Charles,Chelsea,90.0
N. Parris,London City Lionesses,64.0
None,Manchester City,90.0
None,Arsenal,90.0
None,London City Lionesses,90.0
None,Chelsea,90.0
O. Jean-François,Chelsea,14.0
O. Smith,Arsenal,60.0
R. Imuran,London City Lionesses,92.0
S. Baltimore,Chelsea,76.0
S. Blackstenius,Arsenal,14.0
S. Catley,Arsenal,90.0
S. Franssi,London City Lionesses,26.0
S. Jakobsson,London City Lionesses,26.0
S. Kumagai,London City Lionesses,90.0
S. Lohmann,Manchester City,76.0
S. Nüsken,Chelsea,5.0
T. Goldie,London City Lionesses,8.0
T. Hinds,Arsenal,4.0
V. Buurman,Chelsea,90.0
V. Miedema,Manchester City,84.0
V. Pelova,Arsenal,60.0
W. Kaptein,Chelsea,85.0
W. Sangaré,London City Lionesses,90.0
Y. Hasegawa,Manchester City,90.0
