Player,Team,Assists,ShotAssists,xAG
A. Altena,SC Heerenveen,1,1,0.13
A. Andradóttir,FC Twente,1,1,0.16
A. Gelevert,FC Twente,0,1,0.07
A. Tuin,FC Twente,1,3,0.45
A. Weerelts,FC Utrecht,0,1,0.06
A. van Egmond,ADO Den Haag,0,1,0.09
B. Franken,NAC Breda,0,2,0.12
B. Vermeer,SC Heerenveen,0,1,0.1
B. Vonk,ADO Den Haag,1,0,0.09
B. van Egmond,AFC Ajax,1,2,0.29
C. Ishida,PEC Zwolle,0,2,0.1
C. Mol,Alkmaar Zaanstreek,0,4,0.64
C. Obispo,Feyenoord Rotterdam,0,1,0.1
C. Ripa,PSV Eindhoven,0,6,0.46
D. Noordermeer,AFC Ajax,0,2,0.11
D. Noordman,AFC Ajax,0,1,0.09
D. Tolhoek,AFC Ajax,0,3,0.18
D. de Ridder,Alkmaar Zaanstreek,0,1,0.05
D. van Ginkel,FC Twente,0,3,0.18
D. van Lunteren,Alkmaar Zaanstreek,0,2,0.19
E. Daalman,HERA United,0,1,0.04
E. Frijns,PSV Eindhoven,0,1,0.08
E. Kerkhof,SC Heerenveen,0,2,0.16
E. Maatman,SC Heerenveen,0,1,0.08
E. Yetim,NAC Breda,0,1,0.05
E. de Graaf,Feyenoord Rotterdam,1,1,0.25
E. van der Vliet,NAC Breda,0,1,0.05
F. Bol,ADO Den Haag,0,1,0.35
F. Hermans,FC Utrecht,0,1,0.03
F. Meijer,SC Heerenveen,0,2,0.06
F. Prins,ADO Den Haag,0,1,0.61
F. Spaan,Alkmaar Zaanstreek,0,1,0.09
F. Stoit,Feyenoord Rotterdam,0,2,0.13
F. van der Eijk,SBV Excelsior,0,1,0.03
G. Caprino,Alkmaar Zaanstreek,2,1,0.46
G. Viehoff,ADO Den Haag,0,2,0.07
H. Huizenga,PEC Zwolle,0,6,1.03
I. Colin,AFC Ajax,0,2,0.17
I. Kaagman,SC Heerenveen,1,1,0.13
I. Zijp,PEC Zwolle,1,5,0.93
I. van Dalen,NAC Breda,0,1,0.04
I. van der Vegt,FC Twente,0,1,0.09
J. Brandau,Feyenoord Rotterdam,0,1,0.05
J. Dijsselhof,PEC Zwolle,0,3,0.2
J. Paliama,FC Utrecht,0,2,0.14
J. Resink,SC Heerenveen,0,1,0.04
J. Roord,FC Twente,3,4,1.15
J. Roosjen,PEC Zwolle,1,5,0.46
J. Schneijderberg,NAC Breda,0,2,0.09
J. Smits,AFC Ajax,1,0,0.11
J. van Belen,HERA United,0,2,0.09
J. van Mierlo,ADO Den Haag,1,1,0.82
K. Heshof,NAC Breda,0,1,0.03
K. Iwasaki,Feyenoord Rotterdam,0,2,0.19
K. Pruim,PEC Zwolle,0,1,0.04
K. van de Westeringh,Feyenoord Rotterdam,0,1,0.08
L. Carleer,FC Twente,0,3,0.23
L. Forshaw,HERA United,1,1,0.55
L. Groenewegen,FC Twente,0,4,0.4
L. Jacobs,PSV Eindhoven,0,1,0.05
L. Keukelaar,AFC Ajax,0,1,0.05
L. Rijsbergen,PSV Eindhoven,0,2,0.18
L. Venema,SC Heerenveen,0,1,0.1
L. Verhoef,NAC Breda,0,1,0.03
L. Vliek,FC Twente,0,4,0.29
L. de Keijzer,FC Utrecht,0,5,0.36
M. Bormans,FC Utrecht,0,1,0.09
M. Bross,PSV Eindhoven,0,1,0.05
M. Itamura,Feyenoord Rotterdam,2,0,0.15
M. Stoop,Alkmaar Zaanstreek,0,3,0.17
M. de Vette,Alkmaar Zaanstreek,0,3,0.47
M. van Bentum,Alkmaar Zaanstreek,0,5,0.76
M. van Koppen,AFC Ajax,1,1,0.2
N. Nijstad,PSV Eindhoven,1,1,0.79
N. Tromp,FC Utrecht,2,4,1.16
Q. Dupon,ADO Den Haag,0,1,0.03
R. Boukakar,SC Heerenveen,0,1,0.27
R. Dap,FC Utrecht,1,0,0.1
R. Jansen,PSV Eindhoven,2,4,0.77
R. Xhemaili,PSV Eindhoven,0,1,0.07
R. de Haas,SC Heerenveen,0,2,0.17
R. van de Lavoir,Feyenoord Rotterdam,0,2,0.14
S. Dessing,Alkmaar Zaanstreek,0,2,0.46
S. Folkertsma,PSV Eindhoven,0,1,0.05
S. Hassani,HERA United,1,0,0.33
S. Heijblom,NAC Breda,0,4,0.33
S. Kroezen,SC Heerenveen,1,5,0.43
S. Proost,FC Twente,0,2,0.07
S. Spitse,AFC Ajax,0,3,0.23
S. Thrige,PSV Eindhoven,0,1,0.1
S. te Brake,FC Twente,0,1,0.06
T. Groenendijk,FC Utrecht,0,2,0.13
T. van Bentem,Feyenoord Rotterdam,0,5,0.32
Y. van Goch,NAC Breda,1,0,0.35
Z. Hulswit,Feyenoord Rotterdam,0,1,0.07
Z. Zuidberg,PEC Zwolle,1,5,0.31
