playerName,Team,ActualDisruptions,ExpectedDisruptions
N. Hilhorst,Excelsior,6,3.144
N. Mulder,ADO Den Haag,8,1.224
N. Nijstad,PSV,6,8.700000000000001
N. Stoop,HERA United,7,2.184
N. Tromp,Utrecht,5,4.452
N. Vrij,Excelsior,5,0.572
N. de Haan,NAC Breda,0,0.705
N. van den Burg,NAC Breda,1,0.036000000000000004
N. van der Sluijs,Feyenoord,5,2.7840000000000003
O. Szymczak,PEC Zwolle,0,0.194
P. Donker,HERA United,3,1.6380000000000001
P. Raaijmakers,ADO Den Haag,0,0.0
Q. Dupon,ADO Den Haag,13,2.414
R. Blom,ADO Den Haag,19,5.050000000000001
R. Boukakar,Heerenveen,6,2.4250000000000003
R. Dap,Utrecht,1,0.09
R. Derks,Ajax,0,0.018000000000000002
R. Ivens,Twente,2,1.1340000000000001
R. Jansen,PSV,11,7.308000000000001
R. Lacroix,PSV,14,8.97
R. Renfurm,Utrecht,7,1.677
R. Xhemaili,PSV,2,6.786
R. de Haas,Heerenveen,2,0.456
R. van Asten,Ajax,5,2.044
R. van Eijk,Ajax,0,0.608
R. van de Lavoir,Feyenoord,0,0.333
S. Coelho Aurélio,NAC Breda,1,0.28200000000000003
S. Dessing,AZ,2,3.4200000000000004
S. Ellouzi,AZ,0,0.216
S. Folkertsma,PSV,17,13.48
S. Hassani,HERA United,5,2.208
S. Heijblom,NAC Breda,4,0.86
S. Koeleman,ADO Den Haag,3,3.173
S. Koopman,Feyenoord,0,0.056
S. Kroezen,Heerenveen,3,2.52
S. Martina,Excelsior,5,1.74
S. Proost,Twente,4,1.596
S. Spitse,Ajax,7,11.856
S. Thrige,PSV,2,12.096
S. Verdaasdonk,Twente,0,0.018000000000000002
S. Verhoeve,Utrecht,2,0.042
S. de Blij,NAC Breda,0,0.064
S. de Jong,Utrecht,0,0.12
S. te Brake,Twente,3,1.3499999999999999
S. van Vugt,PEC Zwolle,6,0.644
S. van de Velde,PEC Zwolle,3,0.078
T. Groenendijk,Utrecht,0,0.792
T. Tiebie,HERA United,7,0.452
T. van Bentem,Feyenoord,10,4.816
Y. Helderman,Excelsior,4,0.39
Y. Khanchouch,HERA United,1,0.017
Y. Kleef,HERA United,0,0.04
Y. van Goch,NAC Breda,5,2.1590000000000003
Z. Henry,ADO Den Haag,3,4.1080000000000005
Z. Hulswit,Feyenoord,4,1.65
Z. Zuidberg,PEC Zwolle,9,7.038
