Player,Team,Passes,Total_xT,xT
A. Altena,Heerenveen,29,0.16616027,0.166
A. Andradóttir,Twente,46,0.22211103999999998,0.222
A. Chibani,PSV,56,0.30680994,0.307
A. Eloualidi,AZ,5,0.012117899999999997,0.012
A. Gelevert,Twente,10,0.10838692999999999,0.108
A. Knol,Twente,104,0.43442384,0.434
A. Nassette,Heerenveen,52,0.03215722,0.032
A. Takeshige,Feyenoord,25,0.18007492999999997,0.18
A. Tuin,Twente,110,0.33637891999999997,0.336
A. Verspaget,Feyenoord,4,-0.00431989,-0.004
A. Weerelts,Utrecht,50,0.3808543,0.381
A. van Egmond,ADO Den Haag,48,0.44960195999999997,0.45
A. van der Klooster,Excelsior,119,0.21709768000000002,0.217
A. van der Vlist,Excelsior,28,0.0008170800000000047,0.001
B. Franken,NAC Breda,32,0.16861127,0.169
B. Lorsheijd,ADO Den Haag,127,0.64067323,0.641
B. Udink,Heerenveen,9,0.017113150000000008,0.017
B. Vermeer,Heerenveen,18,0.34030575,0.34
B. Vonk,ADO Den Haag,98,0.52400435,0.524
B. van Egmond,Ajax,55,0.7029485099999999,0.703
C. Homan,Excelsior,48,0.5975824,0.598
C. Ishida,PEC Zwolle,68,0.1289107,0.129
C. Kira,HERA United,44,0.15210616000000002,0.152
C. Mol,AZ,141,1.2107255,1.211
C. Obispo,Feyenoord,137,0.13668077999999997,0.137
C. Pijnacker Hordijk,ADO Den Haag,24,0.018230220000000002,0.018
C. Promes,NAC Breda,4,0.0013280500000000008,0.001
C. Ripa,PSV,111,0.39432861999999996,0.394
D. Boussatta,ADO Den Haag,8,0.05350283,0.054
D. Cherif,Excelsior,78,0.00499374,0.005
D. Haizoun,Excelsior,6,0.0,0.0
D. Lemey,Twente,70,0.12045305,0.12
D. Lont,Feyenoord,3,0.04759595,0.048
D. Noordermeer,Ajax,264,1.06946481,1.069
D. Noordman,Ajax,121,0.7488997599999999,0.749
D. Tolhoek,Ajax,30,-0.06159386,-0.062
D. de Klonia,Ajax,114,0.05211886000000002,0.052
D. de Ridder,AZ,68,0.2883997,0.288
D. den Turk,Ajax,22,0.0,0.0
D. van Ginkel,Twente,51,0.34570307999999994,0.346
D. van Lunteren,AZ,72,0.17884231,0.179
D. van Straten,Utrecht,19,-0.0364724,-0.036
E. Daalman,HERA United,45,0.11352860999999999,0.114
E. Fertoute,NAC Breda,17,0.04528521,0.045
E. Frijns,PSV,89,0.07532067,0.075
E. Henschen,PSV,170,0.95521452,0.955
E. Kerkhof,Heerenveen,60,0.12907534,0.129
E. Maass,Heerenveen,31,-0.02817133,-0.028
E. Maatman,Heerenveen,36,0.18533674,0.185
E. Oude Elberink,Twente,11,0.022858069999999994,0.023
E. Pijnenburg,Feyenoord,9,0.016688859999999996,0.017
